Артикул	Наименование как в прайсе	Артикул раковины	Раковина	Компания	Бренд	Серия	Модель	Цена закупочная (без единиц измерения)	Единицы закупочной цены	Рекомендованная розничная цена (без единиц измерения)	Единицы рекомендованной розничной цены	Ширина, см	Глубина, см	Высота, см	Размер (ширина), см	Вес, кг	Ширина упаковки, м	Глубина упаковки, м	Высота упаковки, м	Материал упаковки	Количество коробок, шт	Масса, кг	Объем, м3	Материал корпуса*	Покрытие корпуса*	Материал фасада*	Покрытие фасада*	Монтаж	Система хранения*	Гарантия	Страна	Описание	Фото 1	Фото 2	Фото 3	Фото 4	Фото 5	Фото 6	Фото 7	Фото 8	Фото 9	Фото 10	Фото 11	Фото 12	Фото 13	Фото 14	Фото 15	Фото 16	Цвет			ЛС-000010051	ПШ "Альба 600*1000*600*240" Люкс Белый			ООО СантехСлон	Style Line	Альба	Альба	9841	руб	15254	руб	60,0	24,0	100,0	60,0	14,0	  0,61   	  0,26   	  1,01   	картон	1	  14,6   	  0,160   	МДФ	Пленка ПВХ	МДФ	Пленка ПВХ	подвесной	полочки	1 год	Россия		http://foto.santehslon.msk.ru/foto800/alba/alba_psh600.jpg	http://foto.santehslon.msk.ru/foto800/alba/alba_psh600_1.jpg	http://foto.santehslon.msk.ru/foto800/alba/alba_psh600.pdf	http://foto.santehslon.msk.ru/foto800/alba/alba_psh600_2.jpg													Белый
ЛС-00002282	Тумба "Венеция 75" (2 ящ.) с раковиной Байкал 75	ЛС-00000145	Умывальник Байкал 75	ООО СантехСлон	Style Line	Венеция	Венеция 75	12593	руб	19298	руб	75,0	33,0	85,0	75,0	24,0	  0,77   	  0,34   	  0,88   	картон	2	  24,0   	  0,230   	ДСП	ламинация	МДФ	пленка	напольный	с дверками	1 год	Россия		http://foto.santehslon.msk.ru/foto800/venecija-75/tumba-venecija-75-pod-bajkal-75_obschij-vid.jpg	http://foto.santehslon.msk.ru/foto800/venecija-75/tumba-venecija-75-pod-bajkal-75_otkrytaja.jpg	http://foto.santehslon.msk.ru/foto800/venecija-75/tumba-venecija-75-pod-bajkal-75_detali.jpg	http://foto.santehslon.msk.ru/foto800/venecija-75/shema-venecija75-bajkal.jpg													Белый			
ЛС-00000253	Тумба с раковиной Style Line Венеция 55 под умывальник Линда 55	ЛС-00000146	Умывальник Линда 55	ООО СантехСлон	Style Line	Венеция	Венеция 55	6683	руб	10237	руб	52,0	30,3	85,0	55,0	14,8	  0,54   	  0,32   	  0,87   	картон	2	  14,8   	  0,152   	ДСП	ламинация	МДФ	пленка	напольный	с дверками	1 год	Россия		http://foto.santehslon.msk.ru/foto800/venecija/tumba-venecija-55-pod-umyvalnik-linda-55.jpg	http://foto.santehslon.msk.ru/foto800/venecija/tumba-venecija-55-pod-umyvalnik-linda-55-vid-sverhu.jpg	http://foto.santehslon.msk.ru/foto800/venecija/tumba-venecija-55-pod-umyvalnik-linda-55-otkrytaja.jpg	http://foto.santehslon.msk.ru/foto800/venecija/tumba-venecija-55-pod-umyvalnik-linda-55-shema.jpg													Белый			
ЛС-00000254	Тумба с раковиной Style Line Венеция 65 (3 ящ.) под умывальник Балтика 65	ЛС-00000148	Умывальник Балтика 65	ООО СантехСлон	Style Line	Венеция	Венеция 65	9310	руб	14285	руб	60,5	31,8	85,0	65,0	20,7	  0,63   	  0,34   	  0,87   	картон	2	  20,7   	  0,184   	ДСП	ламинация	МДФ	пленка	напольный	с дверками	1 год	Россия		http://foto.santehslon.msk.ru/foto800/venecija/tumba-venecija-65-pod-umyvalnik-baltika-65.jpg	http://foto.santehslon.msk.ru/foto800/venecija/tumba-venecija-65-pod-umyvalnik-baltika-65-otkrytaja.jpg	http://foto.santehslon.msk.ru/foto800/venecija/tumba-venecija-65-pod-umyvalnik-baltika-65-shema.jpg														Белый			
ЛС-00000260	Тумба с раковиной Style Line Венеция 90 (2 ящ.) под умывальник Эльбрус 90	ЛС-00000152	Умывальник Эльбрус 90	ООО СантехСлон	Style Line	Венеция	Венеция 90	12729	руб	19475	руб	86,8	33,8	85,0	90,0	26,8	  0,89   	  0,36   	  0,87   	картон	2	  26,8   	  0,278   	ДСП	ламинация	МДФ	пленка	напольный	с дверками	1 год	Россия		http://foto.santehslon.msk.ru/foto800/venecija/tumba-venecija-90-pod-umyvalnik-elbrus-90-otkrytaja.jpg	http://foto.santehslon.msk.ru/foto800/venecija/tumba-venecija-90-pod-umyvalnik-elbrus-90-otkrytyĭ-jaschik.jpg	http://foto.santehslon.msk.ru/foto800/venecija/tumba-venecija-90-pod-umyvalnik-elbrus-90-shema.jpg														Белый			
ЛС-00000261	Зеркальный шкаф Style Line Венеция 55/С 			ООО СантехСлон	Style Line	Венеция	Венеция 55	4991	руб	7738	руб	55,0	16,0	83,0	55,0	15,5	  0,57   	  0,18   	  0,85   	картон	1	  15,5   	  0,087   	ДСП	ламинация	МДФ	пленка	подвесной	с дверками	1 год	Россия		zerkalnyĭ-shkaf-venecija-550s.jpg	zerkalnyĭ-shkaf-venecija-550s-otkrytyĭ.jpg	zerkalnyĭ-shkaf-venecija-550s-shema.jpg														Белый			
ЛС-00000262	Зеркальный шкаф Style Line Венеция 65/С			ООО СантехСлон	Style Line	Венеция	Венеция 65	5292	руб	8201	руб	65,0	16,0	83,0	65,0	17,4	  0,67   	  0,18   	  0,85   	картон	1	  17,4   	  0,103   	ДСП	ламинация	МДФ	пленка	подвесной	с дверками	1 год	Россия		zerkalnyĭ-shkaf-venecija-650s.jpg	zerkalnyĭ-shkaf-venecija-650s-otkrytyĭ.jpg	zerkalnyĭ-shkaf-venecija-650s-shema.jpg														Белый			
ЛС-00000263	Зеркальный шкаф Style Line Венеция 75/С			ООО СантехСлон	Style Line	Венеция	Венеция 75	5570	руб	8635	руб	75,0	16,0	83,0	75,0	20,5	  0,77   	  0,18   	  0,85   	картон	1	  20,5   	  0,118   	ДСП	ламинация	МДФ	пленка	подвесной	с дверками	1 год	Россия		zerkalnyĭ-shkaf-venecija-750s.jpg	zerkalnyĭ-shkaf-venecija-750s-otkrytyĭ.jpg	zerkalnyĭ-shkaf-venecija-750s-shema.jpg														Белый			
ЛС-00000264	Зеркальный шкаф Style Line Венеция 90/С			ООО СантехСлон	Style Line	Венеция	Венеция 90	6610	руб	10246	руб	90,0	16,0	83,0	90,0	23,8	  0,92   	  0,18   	  0,85   	картон	1	  23,8   	  0,141   	ДСП	ламинация	МДФ	пленка	подвесной	с дверками	1 год	Россия		zerkalnyĭ-shkaf-venecija-900s.jpg	zerkalnyĭ-shkaf-venecija-900s-otkrytyĭ.jpg	zerkalnyĭ-shkaf-venecija-900s-shema.jpg														Белый			
ЛС-00000265	Колонна Style Line Венеция 36 (2 ящика) белый			ООО СантехСлон	Style Line	Венеция	Венеция	8101	руб	12557	руб	36,0	30,0	191,0	36,0	33,0	  0,38   	  0,32   	  1,93   	картон	1	  33,0   	  0,235   	ДСП	ламинация	МДФ	пленка	напольный	с ящиками	1 год	Россия		kolonna-venecija-360.jpg	kolonna-venecija-360-otkrytaja.jpg	kolonna-venecija-360-otkrytye-jaschiki.jpg		kolonna-venecija-360-shema.jpg												Белый			
ЛС-00000727	Тумба с раковиной Style Line подвесная Вероника 60, Комо 60, Люкс белая, PLUS	ЛС-00000155	Умывальник СОМО 60	ООО СантехСлон	Style Line	Вероника	Вероника 60	10589	руб	16561	руб	57,0	43,5	55,0	60,0	24,1	  0,59   	  0,46   	  0,57   	картон	2	  24,1   	  0,153   	МДФ	пленка	МДФ	пленка	подвесной	с ящиками	1 год	Россия		http://foto.santehslon.msk.ru/foto800/veronika/veronika_como60.jpg	http://foto.santehslon.msk.ru/foto800/veronika/veronika_como60_rakovina.jpg															Белый			
