Наименование	Артикул	Категория	ОПТ ₽	РРЦ ₽	Штрих-код	Бренд	Страна	Гарантия	Фото 0	Фото 1	Фото 2	Фото 3	Фото 4	СХЕМА	Модификация	Установка	Форма	Материал	Цвет	Объем, л	Антискользящее покрытие	Подголовник	Ручки	Слив-перелив	Расположение cлива	Каркас	Ножки	Комплектация	Мультимедиа	Дезинфекция	Озонирование	Хромотерапия	Защита от сухого пуска	Гидромассаж	Форсунок гидромассажа	Массаж спины	Аэромассаж	Форсунок аэромассажа	Исполнение форсунок	Тип управления	Регулировка интенсивности массажа	Длина, см	Ширина, см	Высота, см	Глубина, см	Длина упаковки, м	Ширина упаковки, м	Высота упаковки, м	Объем упаоквки, м3	Вес в упаковке, кг
Акриловая ванна ABBER AB9339-1.7	AB9339-1.7	Ванны	109 250	152 950	4603757418157	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9339-1-7_kg_big_3756.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9339-1-7_kgi_big_8954.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9339-1-7_kgi_big_8898.jpg			https://gemy-russia.ru/imgcatalog/ki-3666-big-akrilovaya-vanna-abber-ab9339-1-7-8t3213.jpg	универсальная	отдельностоящая	прямоугольная	акрил	белый	240	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	80	63,5	45,6	1,73	0,83	0,665	0,955	63
Акриловая ванна ABBER AB9341-1.5	AB9341-1.5	Ванны	74 100	103 740	4603757418195	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9341-1-5_kg_big_3760.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9341-1-5_kgi_big_8966.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9341-1-5_kgi_big_8967.jpg			https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9341-1-5_kgi_big_8968.jpg	универсальная	отдельностоящая	овальная	акрил	белый	180	нет	нет	нет	есть, в комплекте	стандартное	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	150	70	60	45,6	1,53	0,73	0,63	0,704	49
Акриловая ванна ABBER AB9345-1.7	AB9345-1.7	Ванны	74 100	103 740	4603757418300	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9345-1-7_kg_big_3771.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9345-1-7_kgi_big_8996.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9345-1-7_kgi_big_8940.jpg			https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9345-1-7_kgi_big_8998.jpg	универсальная	отдельностоящая	овальная	акрил	белый	180	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	80	60	45,6	1,73	0,83	0,63	0,905	56
Акриловая ванна ABBER AB9353-1.3	AB9353-1.3	Ванны	76 000	106 400	4603757418423	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9353-1-3_kg_big_3788.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9353-1-3_kgi_big_9034.jpg				https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9353-1-3_kgi_big_9035.jpg	универсальная	отдельностоящая	овальная	акрил	белый	160	нет	нет	нет	есть, в комплекте	стандартное	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	130	70	70	43,6	1,33	0,73	0,73	0,71	41
Акриловая ванна ABBER AB9356-1.5	AB9356-1.5	Ванны	76 950	107 730	4603757418485	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9356-1-5_kg_big_3794.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9356-1-5_kgi_big_9048.jpg				https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9356-1-5_kgi_big_9049.jpg	универсальная	отдельностоящая	овальная	акрил	белый	170	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	150	75	58	45	1,53	0,78	0,61	0,73	42
Акриловая ванна ABBER AB9363-1.7	AB9363-1.7	Ванны	108 300	151 620	4603757418638	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9363-1-7_kg_big_3809.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9363-1-7_kgi_big_9089.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9363-1-7_kgi_big_9090.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9363-1-7_kgi_big_9091.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9363-1-7_kgi_big_9092.jpg	универсальная	отдельностоящая	прямоугольная	акрил	белый	240	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	58	45,6	1,73	0,78	0,61	0,823	49
Акриловая ванна ABBER AB9374-1.7	AB9374-1.7	Ванны	85 500	119 700	4603757418881	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9374-1-7_kg_big_3835.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9374-1-7_kgi_big_9180.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9374-1-7_kgi_big_9181.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9374-1-7_kgi_big_9182.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9374-1-7_kgi_big_9183.jpg	универсальная	отдельностоящая	овальная	акрил	белый		нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	80	58	45,6	1,73	0,83	0,61	0,876	54
Акриловая ванна ABBER AB9406-1.6	AB9406-1.6	Ванны	77 900	109 060	4603757424301	ABBER	Германия	3 года	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9406-1-6_kg_big_3937_8hld.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9406-1-6_kgi_big_12747_8hld.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9406-1-6_kgi_big_12745_8hld.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9406-1-6_kgi_big_12748_8hld.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9406-1-6_kgi_big_12746_8hld.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9406-1-6_kgi_big_12744_8hld.jpg	универсальная	отдельностоящая	прямоугольная	акрил	белый		нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	160	80	60	45	1,63	0,83	0,63	0,8523	50
Акриловая ванна ABBER AB9488-1.5	AB9488-1.5	Ванны	76 950	107 730	4603757419543	ABBER	Германия	3 года	https://gemy-russia.ru/imgcatalog/kg-3913-big-akrilovaya-vanna-abber-ab9488-1-5-qaav.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9488-1-5_kgi_big_9821.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9488-1-5_kgi_big_9822.jpg	https://gemy-russia.ru/imgcatalog/ki-3913-big-akrilovaya-vanna-abber-ab9488-1-5-l6o9cc.jpg		https://gemy-russia.ru/imgcatalog/ki-3913-big-akrilovaya-vanna-abber-ab9488-1-5-3oraxb.jpg	универсальная	пристенная	нестандартная	акрил	белый	250	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	150	75	60	45,6	1,53	0,78	0,63	0,75	49
Акриловая ванна ABBER AB9488-1.7	AB9488-1.7	Ванны	88 350	123 690	4603757419550	ABBER	Германия	3 года	https://gemy-russia.ru/imgcatalog/kg-3913-big-akrilovaya-vanna-abber-ab9488-1-5-qaav.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9488-1-5_kgi_big_9821.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9488-1-5_kgi_big_9822.jpg	https://gemy-russia.ru/imgcatalog/ki-3913-big-akrilovaya-vanna-abber-ab9488-1-5-l6o9cc.jpg		https://gemy-russia.ru/imgcatalog/ki-3914-big-akrilovaya-vanna-abber-ab9488-1-7-ot1y5q.jpg	универсальная	пристенная	нестандартная	акрил	белый	270	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	60	45,6	1,73	0,78	0,63	0,85	54
Акриловая ванна ABBER AB9494-1.5	AB9494-1.5	Ванны	74 575	104 405	4603757419666	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9494-1-5_kg_big_4126.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9494-1-5_kgi_big_10212.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9494-1-5_kgi_big_10213.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9494-1-5_kgi_big_10214.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9494-1-5_kgi_big_10215.jpg	универсальная	пристенная	нестандартная	акрил	белый	190	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	150	75	58	45,6	1,53	0,78	0,61	0,728	51
Акриловая ванна ABBER AB9494-1.7	AB9494-1.7	Ванны	80 750	113 050	4603757419680	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9494-1-7_kg_big_4127.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9494-1-7_kgi_big_10216.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9494-1-7_kgi_big_10217.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9494-1-7_kgi_big_10218.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9494-1-7_kgi_big_10219.jpg	универсальная	пристенная	нестандартная	акрил	белый	220	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	78	58	45,6	1,73	0,81	0,61	0,855	54
Акриловая ванна ABBER AB9496-1.5 L	AB9496-1.5 L	Ванны	80 750	113 050	4603757419727	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7_kg_big_4017.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7_kgi_big_9912.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7_kgi_big_9913.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7_kgi_big_9914.jpg		https://specialist-ltd.ru/imgcatalog/ki-4130-big-akrilovaya-vanna-abber-ab9496-1-5-l-phujuq.jpg	левосторонняя	пристенная	угловая асимметричная	акрил	белый		нет	нет	нет	есть, в комплекте	стандартное	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	150	75	58	45,6	1,53	0,78	0,61	0,728	58
Акриловая ванна ABBER AB9496-1.5 R	AB9496-1.5 R	Ванны	80 750	113 050	4603757419734	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7-r_kg_big_4132.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7-r_kgi_big_10234.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7-r_kgi_big_10235.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7-r_kgi_big_10236.jpg		https://specialist-ltd.ru/imgcatalog/ki-4131-big-akrilovaya-vanna-abber-ab9496-1-5-r-zjvoyd.jpg	правосторонняя	пристенная	угловая асимметричная	акрил	белый		нет	нет	нет	есть, в комплекте	стандартное	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	150	75	58	45,6	1,53	0,78	0,61	0,728	58
Акриловая ванна ABBER AB9496-1.7 L	AB9496-1.7 L	Ванны	82 650	115 710	4603757419741	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7_kg_big_4017.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7_kgi_big_9912.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7_kgi_big_9913.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7_kgi_big_9914.jpg		https://specialist-ltd.ru/imgcatalog/ki-4017-big-akrilovaya-vanna-abber-ab9496-1-7-l-64dji5.jpg	левосторонняя	пристенная	угловая асимметричная	акрил	белый	240	нет	нет	нет	есть, в комплекте	стандартное	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	78	58	45,6	1,73	0,81	0,61	0,855	62
Акриловая ванна ABBER AB9496-1.7 R	AB9496-1.7 R	Ванны	82 650	115 710	4603757419758	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7-r_kg_big_4132.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7-r_kgi_big_10234.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7-r_kgi_big_10235.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7-r_kgi_big_10236.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9496-1-7-r_kgi_big_10237.jpg	правосторонняя	пристенная	угловая асимметричная	акрил	белый	240	нет	нет	нет	есть, в комплекте	стандартное	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	78	58	45,6	1,73	0,81	0,61	0,855	62
