Наименование	Артикул	Категория	ОПТ ₽	РРЦ ₽	Штрих-код	Бренд	Страна	Гарантия	Фото 0	Фото 1	Фото 2	Фото 3	Фото 4	СХЕМА	Модификация	Установка	Форма	Материал	Цвет	Объем, л	Антискользящее покрытие	Подголовник	Ручки	Слив-перелив	Расположение cлива	Каркас	Ножки	Комплектация	Мультимедиа	Дезинфекция	Озонирование	Хромотерапия	Защита от сухого пуска	Гидромассаж	Форсунок гидромассажа	Массаж спины	Аэромассаж	Форсунок аэромассажа	Исполнение форсунок	Тип управления	Регулировка интенсивности массажа	Длина, см	Ширина, см	Высота, см	Глубина, см	Длина упаковки, м	Ширина упаковки, м	Высота упаковки, м	Объем упаоквки, м3	Вес в упаковке, кг
Акриловая ванна ABBER AB9310	AB9310	Ванны	82 650	115 710	4603757417600	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9310_kg_big_3686.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9310_kgi_big_8681.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9310_kgi_big_8682.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9310_kgi_big_8640.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9310_kgi_big_8684.jpg	универсальная	пристенная	овальная	акрил	белый	170	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	78	60	45,6	1,73	0,81	0,63	0,88	56
Акриловая ванна ABBER AB9315 L	AB9315 L	Ванны	82 650	115 710	4603757417662	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9315-l_kg_big_3692.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9315-l_kgi_big_8703.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9315-l_kgi_big_8704.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9315-l_kgi_big_8665.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9315-l_kgi_big_8706.jpg	левосторонняя	пристенная	угловая асимметричная	акрил	белый	210	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	60	45,6	1,73	0,78	0,63	0,85	50
Акриловая ванна ABBER AB9315 R	AB9315 R	Ванны	82 650	115 710	4603757417679	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9315-r_kg_big_3693.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9315-r_kgi_big_8707.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9315-r_kgi_big_8708.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9315-r_kgi_big_8669.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9315-r_kgi_big_8710.jpg	правосторонняя	пристенная	угловая асимметричная	акрил	белый	210	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	60	45,6	1,73	0,78	0,63	0,85	50
Акриловая ванна ABBER AB9316	AB9316	Ванны	82 650	115 710	4603757417686	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9316_kg_big_3694.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9316_kgi_big_8711.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9316_kgi_big_8712.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9316_kgi_big_8673.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9316_kgi_big_8714.jpg	универсальная	пристенная	овальная	акрил	белый	210	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	60	45,6	1,73	0,78	0,63	0,85	49
Акриловая ванна ABBER AB9320-1.5	AB9320-1.5	Ванны	73 150	102 410	4603757417747	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9320-1-5_kg_big_3700.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9320-1-5_kgi_big_8730.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9320-1-5_kgi_big_8691.jpg			https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9320-1-5_kgi_big_8732.jpg	универсальная	отдельностоящая	овальная	акрил	белый	190	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	150	75	60	46	1,53	0,78	0,63	0,752	48
Акриловая ванна ABBER AB9320-1.6	AB9320-1.6	Ванны	77 900	109 060	4603757417754	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9320-1-6_kg_big_3701.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9320-1-6_kgi_big_8733.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9320-1-6_kgi_big_8694.jpg			https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9320-1-6_kgi_big_8735.jpg	универсальная	отдельностоящая	овальная	акрил	белый	190	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	160	75	60	46	1,63	0,78	0,63	0,801	48
Акриловая ванна ABBER AB9322	AB9322	Ванны	90 250	126 350	4603757417785	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9322_kg_big_3704.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9322_kgi_big_8742.jpg				https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9322_kgi_big_8743.jpg	универсальная	отдельностоящая	овальная	акрил	белый		нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	180	80	72	46	1,83	0,83	0,75	1,139	57
Акриловая ванна ABBER AB9323	AB9323	Ванны	81 700	114 380	4603757417792	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9323_kg_big_3705.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9323_kgi_big_8744.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9323_kgi_big_8745.jpg			https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9323_kgi_big_8746.jpg	универсальная	отдельностоящая	овальная	акрил	белый	220	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	80	58	46	1,73	0,83	0,61	0,876	51
Акриловая ванна ABBER AB9325-1.7	AB9325-1.7	Ванны	108 300	151 620	4603757416016	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/kg-3566-big-akrilovaya-vanna-abber-ab9325-1-7-plel.jpg	https://specialist-ltd.ru/imgcatalog/ki-3566-big-akrilovaya-vanna-abber-ab9325-1-7-2v6joc.jpg	https://specialist-ltd.ru/imgcatalog/ki-3566-big-akrilovaya-vanna-abber-ab9325-1-7-sljl1s.jpg	https://specialist-ltd.ru/imgcatalog/ki-3566-big-akrilovaya-vanna-abber-ab9325-1-7-114t4l.jpg		https://specialist-ltd.ru/imgcatalog/ki-3566-big-akrilovaya-vanna-abber-ab9325-1-7-8kzdtb.jpg	универсальная	отдельностоящая	овальная	акрил	белый	250	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	80	58	45,6	1,73	0,83	0,61	0,88	48
Акриловая ванна ABBER AB9327	AB9327	Ванны	109 250	152 950	4603757417846	ABBER	Германия	3 года	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9327_kg_big_3723.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9327_kgi_big_8838.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9327_kgi_big_8839.jpg	https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9327_kgi_big_8840.jpg		https://specialist-ltd.ru/imgcatalog/akrilovaya-vanna-abber-ab9327_kgi_big_8841.jpg	универсальная	отдельностоящая	овальная	акрил	белый	245	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	180	85	58	45,6	1,83	0,88	0,61	0,982	58
