Артикул	Наименование	Раздел	Производитель	Состояние	Статус	Цвет	Тип	Штрихкод	Коллекция	Ширина	Высота	Глубина	Монтаж	Материал корпуса	Материал фасада	Покрытие	Стиль	Гарантия	Страна сборки	Вес, кг Брутто	Объем, м3 Брутто	Ориентация	Область применения	Фурнитура	Доп. функции	Система хранения	Тип лампы	Описание	Изображение	РРЦ
99.9028	Зеркало POINT, 70x80 см, сенсорный выключатель, LED-подсветка	зеркала	Dreja	склад		белый	зеркала	4627186950446	Point	700	800	26	подвесной	ЛДСП+пластик	зеркало	глянцевое	современный	2 года	Россия	8,7	0,010	универсальная	бытовая		сенсорный выключатель, LED-подсветка		LED-освещение	Современная коллекция	https://cloud.mail.ru/public/Mjha/6D4sKnfnA	12400
99.9029	Зеркало POINT, 80x90 см, сенсорный выключатель, LED-подсветка	зеркала	Dreja	склад		белый	зеркала	4627186950453	Point	800	900	26	подвесной	ЛДСП+пластик	зеркало	глянцевое	современный	2 года	Россия	9	0,020	универсальная	бытовая		сенсорный выключатель, LED-подсветка		LED-освещение	Современная коллекция	https://cloud.mail.ru/public/Ni91/CVzw3St5X	13600
99.9030	Зеркало POINT, 100x70 см, сенсорный выключатель, LED-подсветка	зеркала	Dreja	склад		белый	зеркала	4627186950460	Point	1000	700	26	подвесной	ЛДСП+пластик	зеркало	глянцевое	современный	2 года	Россия	9,5	0,020	универсальная	бытовая		сенсорный выключатель, LED-подсветка		LED-освещение	Современная коллекция	https://cloud.mail.ru/public/kc6X/c7NzohLgu	13400
99.9031	Зеркало POINT, 120x70 см, сенсорный выключатель, LED-подсветка	зеркала	Dreja	склад		белый	зеркала	4627186950477	Point	1200	700	26	подвесной	ЛДСП+пластик	зеркало	глянцевое	современный	2 года	Россия	11	0,020	универсальная	бытовая		сенсорный выключатель, LED-подсветка		LED-освещение	Современная коллекция	https://cloud.mail.ru/public/3k19/2KyxUwBAq	14300
99.9032	Шкаф зеркальный POINT, 60 см, 1 дверца, 2 стеклянные полки, инфракрасный выключатель, LED-подстветка, розетка, белый	зеркальные шкафы	Dreja	склад		белый	зеркальные шкафы	4627186950484	Point	600	800	155	подвесной	ЛДСП	МДФ+пластик	глянцевое	современный	2 года	Россия	17,4	0,070	универсальная	бытовая	Blum	инфракрасный выключатель, LED-подсветка, розетка	1 дверца, 2 стеклянные полки	LED-освещение	Современная коллекция	https://cloud.mail.ru/public/Jtqp/yUbXhtE4W	26600
99.9033	Шкаф зеркальный POINT, 70 см, 2 дверцы, 2 стеклянные полки, инфракрасный выключатель, LED-подстветка, розетка, белый	зеркальные шкафы	Dreja	склад		белый	зеркальные шкафы	4627186950491	Point	700	800	155	подвесной	ЛДСП	МДФ+пластик	глянцевое	современный	2 года	Россия	20,7	0,090	универсальная	бытовая	Blum	инфракрасный выключатель, LED-подсветка, розетка	2 дверцы, 2 стеклянные полки	LED-освещение	Современная коллекция	https://cloud.mail.ru/public/sNgN/BB1Nu96Mu	31800
99.9034	Шкаф зеркальный POINT, 80 см, 2 дверцы, 2 стеклянные полки, инфракрасный выключатель, LED-подстветка, розетка, белый	зеркальные шкафы	Dreja	склад		белый	зеркальные шкафы	4627186950507	Point	800	800	155	подвесной	ЛДСП	МДФ+пластик	глянцевое	современный	2 года	Россия	23,4	0,100	универсальная	бытовая	Blum	инфракрасный выключатель, LED-подсветка, розетка	2 дверцы, 2 стеклянные полки	LED-освещение	Современная коллекция	https://cloud.mail.ru/public/p8PC/mJR3LpuoV	32300
99.9035	Пенал зеркальный POINT, 40 см, подвесной, универсальный, 1 дверца, 4 стеклянные полки, сенсорный выключатель, LED-подсветка, белый	пеналы	Dreja	склад		белый	пеналы	4627186950514	Point	400	1600	310	подвесной	ЛДСП	МДФ+пластик	глянцевое	современный	2 года	Россия	33	0,190	универсальная	бытовая	Blum	инфракрасный выключатель, LED-подсветка, розетка	1 дверца, 4 стеклянные полки	LED-освещение	Современная коллекция	https://cloud.mail.ru/public/qmmn/xLFA9TDS6	37900
99.1007	Тумба Q (D), 55 см, подвесная, 2 дверцы, белый глянец	тумбы	Dreja	склад		белый	тумбы	4610093020241	Q(D)	495	500	455	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	21,9	0,146	универсальная	бытовая	Hettich		2 дверцы, 1 полка		Современная коллекция	url1: 	11500
99.1001	Тумба Q (D), 60 см, подвесная, 2 дверцы, белый глянец	тумбы	Dreja	склад		белый	тумбы	4610093020258	Q(D)	554	500	455	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	22,9	0,149	универсальная	бытовая	Hettich		2 дверцы, 1 полка		Современная коллекция	https://cloud.mail.ru/public/ACjb/vmh8e7mSo	12100
