Раздел	Бренд	Артикул	Коллекция	Наименование			Название на русском	тип	Ширина	Высота	Глубина	Монтаж	Материал корпуса 1	Материал корпуса 2	Материал фасада	Покрытие	Цвет	Стиль	Гарантия	Страна сборки	Вес, кг Нетто	Вес, кг Брутто	Объем, м3 Нетто	Штрихкод	Ориентация	область применения	Фото	технический рисунок
аксессуар  для ванных комнат	Bemeta	132204102	BETA	BETA: Dvojitý držák ručníků otočný 420mm #4	BETA: double towel holder	BETA: Doppelhandtuchhalter, drehbar	Двойной держатель полотенцa	Полотенцедержатель	55	165	450	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,621	0,75	0,00408375	8592207009655	универсальная	бытовая	https://yadi.sk/i/tqB1_KbUHTrfKg	https://yadi.sk/i/y5Igri6c0ortwA
аксессуар  для ванных комнат	Bemeta	132205072	BETA	BETA: Držák ručníků s hrazdou 655mm	BETA: towel hlder with rail 655mm	BETA:Handtuchablage	Полочка для полотенеца с вешалкой	Полотенцедержатель	655	106	215	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	1,519	1,82	0,01492745	8592207008344	универсальная	бытовая	https://yadi.sk/i/gRAE4bjWzlZYqQ	https://yadi.sk/i/RavIweE1r-dgkA
аксессуар  для ванных комнат	Bemeta	132205082	BETA	BETA: Držák ručníků 655mm	BETA: towel holder 655mm	BETA:Handtuchablage	Полотенцедержатель	Полотенцедержатель	655	55	215	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,832	1,059	0,007745375	8592207013607	универсальная	бытовая	https://yadi.sk/i/K7ss08smoT3yXg	https://yadi.sk/i/rHW2uqFIBcrhng
аксессуар  для ванных комнат	Bemeta	132204012	BETA	BETA: Držák ručníků; 355mm	BETA: towel holder 350mm	BETA:Handtuchhalter 350mm	Держатель полотенца 355мм	Полотенцедержатель	355	55	65	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,301	0,384	0,001269125	8592207008306	универсальная	бытовая	https://yadi.sk/i/-Y5W6t44CJMTUA	https://yadi.sk/i/BYOjclzJXXIW3g
аксессуар  для ванных комнат	Bemeta	132204022	BETA	BETA: Držák ručníků; 505mm	BETA: towel holder 505mm	BETA:Handtuchhalter 505mm	Держатель полотенца 505мм	Полотенцедержатель	505	55	65	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,344	0,448	0,001805375	8592207008313	универсальная	бытовая	https://yadi.sk/i/vJb3Fbz4oRcV2w	https://yadi.sk/i/U3sUA_6nGSQeVg
аксессуар  для ванных комнат	Bemeta	132204042	BETA	BETA: Držák ručníků; 650mm	BETA: towel holder 650mm	 BETA:Handtuchhalter 650mm	Держатель полотенца 655мм	Полотенцедержатель	655	55	65	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,416	0,542	0,002341625	8592207008320	универсальная	бытовая	https://yadi.sk/i/vJb3Fbz4oRcV2w	https://yadi.sk/i/mmLxZZCEC9An7Q
аксессуар  для ванных комнат	Bemeta	132117012	BETA	BETA: Držák fénu	BETA: holder for hairdryer	BETA: Fönhalter	Держатель фена	Держатель фена	80	55	100	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,246	0,339	0,00044	8592207010453	универсальная	бытовая	https://yadi.sk/i/3gB4n5pqRtKBmw	https://yadi.sk/i/9-Xvs-cHBxvXSw
аксессуар  для ванных комнат	Bemeta	132117022	BETA	BETA: Držák fénu spirálový	BETA: holder for hairdryer spiral	BETA: Fönhalter	Держатель фена спиралевидный	Держатель фена	105	118	123	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,24	0,3	0,00152397	8592207011733	универсальная	бытовая	https://yadi.sk/i/gVUb5X4sQsnD5A	https://yadi.sk/i/b7IDvCkOj0nQgQ
аксессуар  для ванных комнат	Bemeta	132122042	BETA	BETA: Polička skleněná; 300mm	BETA: glass shelf	BETA: Glasablage	Стеклянная полка	Полка стеклянная	300	55	130	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	0,887	0,98	0,002145	8592207009648	универсальная	бытовая	https://yadi.sk/i/rJxPZit3CZlhNA	https://yadi.sk/i/9ohJ8ObHv5t1oQ
аксессуар  для ванных комнат	Bemeta	132201172	BETA	BETA: Kosmetické zrcátko na tyči kulaté	BETA: cosmetic bath mirrors without LED MH42U	BETA: Kosmetikspiegel ohne Beleuchtung	Косметическое зеркало на стойке	Косметическое зеркало 	200	550	140	подвесной	латунь 	X	хром	глянцевое		модерн	2 года	Чехия	1,213	1,598	0,0154	8592207008290	универсальная	бытовая	https://yadi.sk/i/pr0kcvX1Bw5vRQ	https://yadi.sk/i/WpK_irBj6V01oA
аксессуар  для ванных комнат	Bemeta	132112042	BETA	BETA: Držák toaletního papíru bez krytu economy	BETA: Paper holder without cover	BETA: Papierrollenhakter ohne Deckel	Держатель туалетной бумаги	Держатель туалетного рулона	135	100	90	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,238	0,294	0,001215	8592207009624	универсальная	бытовая	https://yadi.sk/i/PBpIcha3Czwokw	https://yadi.sk/i/wnFLRLb-lZf8bA
аксессуар  для ванных комнат	Bemeta	132113012	BETA	BETA: WC štětka, miska sklo #2	BETA: toilet brush holder	BETA:WC-Bürstengarnitur mit Glasbehälter	Ёршик, подвесной (стекло), щётка белая	Ёршик 	95	360	140	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	0,78	0,858	0,004788	8592207009631	универсальная	бытовая	https://yadi.sk/i/jGDiORoBL6NY_w	https://yadi.sk/i/D8oDbiHOYFjopw
аксессуар  для ванных комнат	Bemeta	132113017	BETA	BETA: WC štětka, miska sklo; černý kartáč	BETA: toilet brush holder	BETA:WC-Bürstengarnitur mit Glasbehälter	Ёршик, подвесной (стекло), щётка черная	Ёршик 	95	360	140	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	0,69	1,05	0,004788	8592207011979	универсальная	бытовая	https://yadi.sk/i/Z3cx53RRcau9PQ	https://yadi.sk/i/oyiqd2zfxVha4g
аксессуар  для ванных комнат	Bemeta	132114122	BETA	BETA: Sprchová tyč s jezdcem	BETA: shower rail	BETA: Brausestange mit Halterung	Душевая штанга	Душевая штанга	90	900	110	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,622	0,933	0,00891	8592207008283	универсальная	бытовая	https://yadi.sk/i/kuUsyi27Nux9YA	https://yadi.sk/i/MIVCyizxWHUqtg
аксессуар  для ванных комнат	Bemeta	132110032	BETA	BETA: Držák kartáčků	BETA: toothbrush holder	BETA: Zahnbürstenhalter	Держатель зубных щетoк	Держатель зубных щеток	105	55	85	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,143	0,186	0,000490875	8592207009754	универсальная	бытовая	https://yadi.sk/i/xFN0ha9roU6mSQ	https://yadi.sk/i/SS1aSQnR7ljLfQ
аксессуар  для ванных комнат	Bemeta	132110042	BETA	BETA: Držák kartáčků včetně sklenic	BETA: toothbrush holder with glass	BETA: Zahnbürstenhalter mit Glas	Держатель зубных щеток, стакан	Держатель зубных щеток	190	95	125	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	0,715	0,805	0,00225625	8592207009839	универсальная	бытовая	https://yadi.sk/i/EcUSUvIxXg2XHA	https://yadi.sk/i/83fcb5SDVY6ITQ
аксессуар  для ванных комнат	Bemeta	132112012	BETA	BETA: Držák toaletního papíru s krytem #1	BETA: paper holder with cover	BETA: Papierrollenhalter mit Deckel	Держатель туалетной бумаги с крышкой	Держатель туалетного рулона	135	155	90	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,371	0,443	0,00188325	8592207009747	универсальная	бытовая	https://yadi.sk/i/o3-9JeCGNWhFbw	https://yadi.sk/i/R28-tofVwl454g
аксессуар  для ванных комнат	Bemeta	132112032	BETA	BETA: Držák toaletního papíru rezervní	BETA: spare paper holder	BETA:Reservepapierrollenhalter	Держатель запасного рулона	Держатель туалетного рулона	55	165	65	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,16	0,214	0,000589875	8592207008276	универсальная	бытовая	https://yadi.sk/i/S2ypf0vxplSpHw	https://yadi.sk/i/52x5k6qjaJ9PbQ
аксессуар  для ванных комнат	Bemeta	132109102	BETA	BETA: Dávkovač tekutého mýdla, sklo MINI	BETA: Soap dispenser wall model, small glass	BETA:Seifenspender MINI	Настенный дозатор для жидкого мыла (стекло) вариант MINI	Дозатор мыла	70	145	100	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	0,578	0,651	0,001015	8592207009600	универсальная	бытовая	https://yadi.sk/i/NlkyDb9S9pP9bA	https://yadi.sk/i/3GYXorMJFVWtQQ
аксессуар  для ванных комнат	Bemeta	132109182	BETA	BETA: Dávkovač tekutého mýdla s magnetickou mýdlenkou, sklo MINI	BETA: Soap dispenser wall model with magntic soap holder, small glass	BETA: Seifenspender MINI	Дозатор жидкого мыла с магнетической мыльницей	Дозатор мыла	75	160	100	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	0,6	0,63	0,0012	8592207013331	универсальная	бытовая	https://yadi.sk/i/028cMjqGu9_Icg	https://yadi.sk/i/W8K_QfeNSYjFjg
аксессуар  для ванных комнат	Bemeta	132110012	BETA	BETA: Držák kartáčků sklo	BETA: Toothbrush holder	BETA: Zahnbürstenhalter	Держатель зубных щеток, стакан	Держатель зубных щеток	70	95	105	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,364	0,401	0,00069825	8592207009617	универсальная	бытовая	https://yadi.sk/i/CZAc50ME53XODA	https://yadi.sk/i/x9vuILZxmjGX4g
аксессуар  для ванных комнат	Bemeta	132110022	BETA	BETA: Dvojitý držák kartáčků sklo	BETA: double toothbrush holder	BETA: Doppelzahnbürstenhalter	Держатель зубных щеток, стакан	Держатель зубных щеток	160	95	90	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	0,6	0,75	0,001368	8592207008795	универсальная	бытовая	https://yadi.sk/i/d6Oo7LnDCgtrJQ	https://yadi.sk/i/N_g2K2I6slwIrw
аксессуар  для ванных комнат	Bemeta	132108042	BETA	BETA: Mýdlenka skleněná	BETA: soap dish	BETA:  Seifenhalter mit Glasseifenschale, matt	Мыльница	Мыльница	110	55	125	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	0,391	0,463	0,00075625	8592207008801	универсальная	бытовая	https://yadi.sk/i/DRJHY03HGBvoqQ	https://yadi.sk/i/X6HISg1744mDCw
аксессуар  для ванных комнат	Bemeta	132108202	BETA	BETA: Mýdlenka magnetická	BETA: magnetic soap holder	BETA: Seifenhalter	Мыльница магнитная	Мыльница	55	55	70	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,152	0,192	0,00021175	8592207012938	универсальная	бытовая	https://yadi.sk/i/ZXtCC4oYt1xC4w	https://yadi.sk/i/zGiIaSb_q9yepA
аксессуар  для ванных комнат	Bemeta	132109017	BETA	BETA: Dávkovač tekutého mýdla, sklo	BETA: Soap dispenser, satinated glass	BETA:Glasseifenspender	Настенный дозатор для жидкого мыла (стекло)	Дозатор мыла	80	190	133	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,618	0,718	0,0020216	8592207016219	универсальная	бытовая	https://yadi.sk/i/kvx6cfrzphAo2g	https://yadi.sk/i/dwKME1AvzWuaOg
аксессуар  для ванных комнат	Bemeta	132109017	BETA	BETA: Dávkovač tekutého mýdla, sklo	BETA: Soap dispenser, satinated glass	BETA:Glasseifenspender	Настенный дозатор для жидкого мыла (стекло)	Дозатор мыла	80	190	133	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	0,618	0,718	0,0020216	8592207009594	универсальная	бытовая	https://yadi.sk/i/kvx6cfrzphAo2g	https://yadi.sk/i/dwKME1AvzWuaOg
аксессуар  для ванных комнат	Bemeta	132106022	BETA	BETA: Věšáček	BETA: single robe hook	BETA:Kleiderhaken	Крючок 	Крючок	55	55	50	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,163	0,2	0,00015125	8592207009570	универсальная	бытовая	https://yadi.sk/i/h4YFOxZrT3F0mQ	https://yadi.sk/i/HEzkIew984jPAg
аксессуар  для ванных комнат	Bemeta	132106032	BETA	BETA: Věšáček dvojitý	BETA: double robe hook	BETA:Doppelkleiderhaken	Двойной крючок одежды	Крючок	55	55	50	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,21	0,231	0,00015125	8592207009587	универсальная	бытовая	https://yadi.sk/i/oz3S84dufdrc6A	https://yadi.sk/i/CH5Diyov-_xC5Q
аксессуар  для ванных комнат	Bemeta	132106132	BETA	BETA: Věšáček hranatý malý	BETA:single robe hook	BETA: Kleiderhaken	Kрючок для одежды	Крючок	19	35	38	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,114	0,133	0,00002527	8592207000102	универсальная	бытовая	https://yadi.sk/i/IzkwyN-oNYO5Hw	https://yadi.sk/i/jshTAgqu0evBGA
аксессуар  для ванных комнат	Bemeta	132104042	BETA	BETA: Držák ručníků economy 655mm	BETA: towel holder 650mm	 BETA:Handtuchhalter 650mm	Полотенцедержатель 655мм	Полотенцедержатель	655	55	65	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,449	0,576	0,002341625	8592207008269	универсальная	бытовая		https://yadi.sk/i/XJh5uf6XlvsLJA
аксессуар  для ванных комнат	Bemeta	132104052	BETA	BETA: Držák ručníků, dvojitý economy 655mm	BETA: double towel holder	BETA: Doppelhandtuchhalter	Двойной держатель полотенца 655мм	Полотенцедержатель	655	55	110	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,498	0,681	0,00396275	8592207009556	универсальная	бытовая	https://yadi.sk/i/EluG_h65l0cAMA	https://yadi.sk/i/5RvjNHSUhF9iBA
аксессуар  для ванных комнат	Bemeta	132104062	BETA	BETA: Kruh	BETA: ring towel holder	BETA: Handtuchring	Кольцо для полотенец	Полотенцедержатель	160	180	55	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,238	0,262	0,001584	8592207009563	универсальная	бытовая	https://yadi.sk/i/yMkXclI6vmwKCA	https://yadi.sk/i/CQBZaer2c8ZTUA
аксессуар  для ванных комнат	Bemeta	132105112	BETA	BETA: Hrazda s věšáčky 355mm	BETA: Hool rail with 5 towel hooks	BETA:  Hakeleiste mit Handtuchhaken	Держатель с 5 крючками	Крючок	420	55	70	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,15	0,17	0,001617	8592207009907	универсальная	бытовая	https://yadi.sk/i/IsUT4k7Exsw_EQ	https://yadi.sk/i/SQGqrqbAsP2Pdg
аксессуар  для ванных комнат	Bemeta	132102012	BETA	BETA: Polička skleněná rohová	BETA: glass shelf, corner model	BETA: Glasablage, Eckmodell	Cтеклянная полка, угловая модeль	Полка стеклянная	255	55	255	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	1,085	1,21	0,003576375	8592207008245	универсальная	бытовая	https://yadi.sk/i/GYin2jTOCXy1AA	https://yadi.sk/i/b-9c7NCZvWiJaA
аксессуар  для ванных комнат	Bemeta	132102042	BETA	BETA: Polička skleněná; 600mm	BETA:glass shelf 600mm	BETA: Glasablage 600mm	Cтеклянная полка 600мм	Полка стеклянная	600	55	130	подвесной	латунь 	Стекло мат	хром	глянцевое		модерн	12 лет	Чехия	1,445	1,6	0,00429	8592207009532	универсальная	бытовая	https://yadi.sk/i/zfy8bg7wvpXhhw	https://yadi.sk/i/MDFZq5uHi3HdmQ
аксессуар  для ванных комнат	Bemeta	132104012	BETA	BETA: Držák ručníků economy 300 mm	BETA:towel holder 350mm	BETA:Handtuchhalter 350mm	Полотенцедержатель 300 мм	Полотенцедержатель	355	55	65	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,317	0,4	0,001269125	8592207008252	универсальная	бытовая		https://yadi.sk/i/3csTgBBo9qNfgQ
аксессуар  для ванных комнат	Bemeta	132104022	BETA	BETA: Držák ručníků economy 505mm	BETA: towel holder 500mm	BETA: Handtuchhalter 500mm	Полотенцедержатель 	Полотенцедержатель	505	55	65	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,4	0,504	0,001805375	8592207009549	универсальная	бытовая		https://yadi.sk/i/LkYLuPKsHRGM-Q
аксессуар  для ванных комнат	Bemeta	132102112	BETA	BETA: Držák poličky bez skla (pár)	BETA: Shelf holder without glas (paar)	BETA: Shelf holder without glas (paar)	Держатель полочки (пара)	Держатель стеклянной полки	55	55	40	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,275	0,3	0,000121	8592207015922	универсальная	бытовая	https://yadi.sk/i/amF3x6--ZhP-CA	https://yadi.sk/i/iTQdjM22p_FbWA
аксессуар  для ванных комнат	Bemeta	102202112	BETA	BETA: Držák poličky bez skla (pár), tl. skla 8mm	BETA: Shelf holder without glas (paar)  glass 8mm	BETA: Shelf holder without glas (paar) glass 8mm	Держатель полочки (пара)	Держатель стеклянной полки	20	20	25	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,099	0,14	0,00001	8592207001499	универсальная	бытовая	https://yadi.sk/i/G7RVYbVPFrBiZA	https://yadi.sk/i/EAPAmAelpxriRg
аксессуар  для ванных комнат	Bemeta	102102112	BETA	BETA: Držák poličky bez skla (pár), tl. skla 8mm	glass shelf holder, pair, glass thickness 8mm	glass shelf holder, pair, glass thickness 8mm	Держатель полочки (пара)	Держатель стеклянной полки	40	20	25	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,199	0,24	0,00002	8592207001581	универсальная	бытовая	https://yadi.sk/i/oF7COWoX8pOPkA	https://yadi.sk/i/z-FvtS3R1klYqQ
аксессуар  для ванных комнат	Bemeta	118113092	BETA	BETA: WC štětka; na postavení, chrom	BETA: toilet brush holder	BETA: WC-Bürstengarnitur Standmodell, Chrom	Ёршик, металл, щётка белая	Ёршик 	85	440	85	Наполный/подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	1,308	1,44	0,003179	8592207003615	универсальная	бытовая	https://yadi.sk/i/nPDpQp4jkY5JEA	https://yadi.sk/i/B94N5xDO0d54UA
аксессуар  для ванных комнат	Bemeta	118213092	BETA	BETA: WC štětka; nástěnná,	BETA: toilet brush wall mounted	BETA: WC-Bürstengarnitur Wandmodel, Chrom	Ёршик, металл, щётка белая	Ёршик 	80	365	80	Наполный/подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	1,168	1,55	0,002336	8592207008498	универсальная	бытовая	https://yadi.sk/i/s7WNmK48rw8LFw	https://yadi.sk/i/FND7IMmdyrpHGQ
																												
		132102212	BETA	BETA: Polička skleněná s výklopnou hrazdou 600 mm	BETA: Glass shelf with rail 600 mm	BETA: Glasablage 600mm	BETA: Полочка стеклянная 600 мм		600	55	130										1,8	2,05	0,0429	8592207007477				
		132108162	BETA	BETA: Mýdlenka drátěná	BETA: Soap basket	BETA: Seifenkorb	BETA: Проволочная мыльница		140	52	125										0,25	0,26	0,0091	8592207015472				
		132204191	BETA	BETA: Držák ručníků dvojitý otočný na jedné úchytce	BETA: Double towel holder swivel	BETA: Doppelhandtuchhalter, schwenkbar	BETA: Двойной держатель полотенца		55	55	420										0,329	0,45	0,0127	8592207020056				
		132307611	BETA	BETA: Madlo rovné, ostré 300 mm	BETA: Shower grab bar straight 300 mm	BETA: Wannengriff 300 mm	BETA: Поручень прямой 300 мм		350	50	75										0,503	0,626	0,013125	8592207021671				
		132836042	BETA	Stojan s držákem toaletního papíru a WC štětkou	Free standing toilet paper and brush holder	Ständer mit Papierrollenhalter und WC-Bürste	Стойка с держателем туалетной бумаги и ёршик		150	710	255										3,642	4,4	0,271575	8592207032868				
