Артикул	Наименование	Раздел	Код	ОПТОВАЯ ЦЕНА руб.	РОЗНИЧНАЯ ЦЕНА руб.	Вес общий (кг)	Размер (ШхВхГ) мм 	Ширина изделия мм	Высота изделия мм	Глубина изделия мм	Материал	Цвет	Ширина в коробке мм	Высота в коробке мм	Глубина в коробке мм	Штрихкод	Отверстие для смесителя 	Переливное отверстие	Форма чаши 	Вариант установки 	Производитель 	Гарантия	Описание	URL страницы детального просмотра	Фото 0	Фото 1	Фото 2	Фото 3	Фото 4 	Фото 5	Фото 6	Фото 7	Фото 8	Фото 9	Фото 10	Схема
00-00012227	COMFORTY. Раковина COMFORTY 113MC капучино матовый	Раковины	113MC	9 240р.	12 920р.	8		360	120	360	Санфарфор	Капучино матовый	380	150	380	4630100143558	Нет	Нет		Раковина-чаша	Comforty	Гарантийный срок 5 лет	Название: накладная круглая раковина-чаша Comforty 113MC Артикул: 113MC Материал: фарфор Габаритные размеры ШхВхГ: 360*120*360 мм Цвет: капучино матовый Вес - 8 кг.  Способ установки: накладная Форма чаши: круглая Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник из фарфора для установки на тумбу или столешницу  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/nakladnaya-kruglaya-rakovina-chasha-36-sm-comforty-113mc-kapuchino-matovyy/	https://www.comforty.ru/upload/iblock/687/fv1eoxd60oe5ggvr4qvu7v5wh2ccrros.jpg	https://www.comforty.ru/upload/iblock/64b/8r7wq8drboxjd03lffuimwjiz0ba7bb4.jpg	https://www.comforty.ru/upload/iblock/fc6/mmgpcbbgdygwtdyvmptdcvtdp0n0a0nc.jpg	https://www.comforty.ru/upload/iblock/b97/98tvwybk46z103r38j9rbiuzr1s04r9v.jpg	https://www.comforty.ru/upload/iblock/79f/km8ix8jdb52ani07q5ixfcg7xgamfp8f.jpg	https://www.comforty.ru/upload/iblock/41f/9bfhzdw1xbl5tphkfj82nkb0wucuowom.jpg	https://www.comforty.ru/upload/iblock/03f/ahb4rj1j2pz6ftw3rjjx3o7a9qtnkms6.jpg	https://www.comforty.ru/upload/iblock/df0/hqhuso2lf9l1278934av7jpwvfys62wj.jpg	https://www.comforty.ru/upload/iblock/032/c1hyk1nh74sggetdovs5u4q45q3qe2q7.jpg			https://www.comforty.ru/upload/iblock/9f4/2s7i1i3taa47cpqb8q9hnma9qmm61mw2.jpg
00-00012223	COMFORTY. Раковина COMFORTY 113MDG темно зеленый матовый	Раковины	113MDG	9 240р.	12 920р.	8		360	120	360	Санфарфор	темно-зеленый	380	150	380	4630100143527	Нет	Нет		Раковина-чаша	Comforty	Гарантийный срок 5 лет	Название: накладная круглая раковина-чаша Comforty 113MDG Артикул: 113MDG Материал: фарфор Габаритные размеры ШхВхГ: 360*120*360 мм Цвет: темно-зеленый матовый Вес - 8 кг.  Способ установки: накладная Форма чаши: круглая Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник из фарфора для установки на тумбу или столешницу  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/nakladnaya-kruglaya-rakovina-chasha-36-sm-comforty-113mdg-temno-zelenaya-matovaya/	https://www.comforty.ru/upload/iblock/069/yem7i6pek468n89plcr0twe5068q6173.jpg	https://www.comforty.ru/upload/iblock/0f7/7m3ly6p0u328jvb626z7kngs47rvy1pk.jpg	https://www.comforty.ru/upload/iblock/bd6/axyittysio7dou4cbgx3skk76y3dovrn.jpg	https://www.comforty.ru/upload/iblock/74e/m3d24xcr3xztx74qjpx7fus51r1iht4p.jpg	https://www.comforty.ru/upload/iblock/ed8/uq8b479m8q854er6w53s2xp4fjw6mj0b.jpg	https://www.comforty.ru/upload/iblock/1c8/dhu32usljyaz22363z15gf66z69fvcno.jpg	https://www.comforty.ru/upload/iblock/59c/xzri1n4aorvshjcol8vrj40pztfakgcq.jpg	https://www.comforty.ru/upload/iblock/1dd/m3sqo1x8hwjt37p31ckaoje1l0y7p0dq.jpg	https://www.comforty.ru/upload/iblock/070/5sec2lnyr2t1lsbs63oeicje068g7arh.jpg			https://www.comforty.ru/upload/iblock/1cc/5vogvz6ku3qi74hgusinzh5iga72654f.jpg
00-00012226	COMFORTY. Раковина COMFORTY 113MH светло серая матовая	Раковины	113MH	6 870р.	9 600р.	8		360	120	360	Санфарфор	Светло-серый	380	150	380	4630100143541	Нет	Нет		Раковина-чаша	Comforty	Гарантийный срок 5 лет	Название: накладная круглая раковина-чаша Comforty 113MH Артикул: 113MH Материал: фарфор Габаритные размеры ШхВхГ: 360*120*360 мм Цвет: светло-серый матовый Вес - 8 кг.  Способ установки: накладная Форма чаши: круглая Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник из фарфора для установки на тумбу или столешницу  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/nakladnaya-kruglaya-rakovina-chasha-36-sm-comforty-113mh-svetlo-seraya-matovaya/	https://www.comforty.ru/upload/iblock/e30/qgbk5y5jqjhyr43t7d24ejbv4ue1z2p9.jpg	https://www.comforty.ru/upload/iblock/3e2/0l87ja10g00xlh92xyvhil65ey0shev8.jpg	https://www.comforty.ru/upload/iblock/05e/p7gcb3n5yao4e9xjenf5dm9keguzpryr.jpg	https://www.comforty.ru/upload/iblock/11f/k8eyw0uirtt445p2fmddcokwi06ca1hy.jpg	https://www.comforty.ru/upload/iblock/21d/tkaabkusc2l4xil23nmn0e5hbtvs3ife.jpg	https://www.comforty.ru/upload/iblock/85b/shmq8d50t9xlswjgsuatfqazxox7xeb9.jpg	https://www.comforty.ru/upload/iblock/fc1/wvh8gzrvn6vdhb8vd4t7f8906bpgtm4q.jpg	https://www.comforty.ru/upload/iblock/0ea/x50oibqh341fkcmj7ta04k4g21f73tq0.jpg	https://www.comforty.ru/upload/iblock/3d7/gs6lm83aktsbp4rtgj350hdzqlaylhi8.jpg			https://www.comforty.ru/upload/iblock/618/5t73hk4zyb5qgqfs9zif1tn6fo9nktsi.jpg
00-00012228	COMFORTY. Раковина COMFORTY 114	Раковины	114	4 620р.	6 460р.	9,75		415	120	415	Санфарфор	Белый	430	150	430	4630100143565	Нет	Нет		Раковина-чаша	Comforty	Гарантийный срок 5 лет	Название: накладная круглая раковина-чаша Comforty 114 Артикул: 114 Материал: фарфор Габаритные размеры ШхВхГ: 415*120*415 мм Цвет: белый Вес - 9 кг.  Способ установки: накладная Форма чаши: круглая Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник из фарфора для установки на тумбу или столешницу  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/nakladnaya-kruglaya-rakovina-chasha-comforty-114-belaya/	https://www.comforty.ru/upload/iblock/989/4dzcr43fuykadhiiaa6hckg1fo1fkqkf.jpg	https://www.comforty.ru/upload/iblock/c91/8wnz3h9qa49euluk1hdqir5scy756ju4.jpg	https://www.comforty.ru/upload/iblock/de8/xqeh4jk251qoko465enwkyj7mob0cgm8.jpg	https://www.comforty.ru/upload/iblock/1f1/yquq6u4wuxs8078s1fy02x3u51h64if1.jpg	https://www.comforty.ru/upload/iblock/7c1/zcoufada3uc5p2g60f12m5io3os1fha4.jpg	https://www.comforty.ru/upload/iblock/895/3vdr00s45vyczod0cndau2ihaeyaashn.jpg	https://www.comforty.ru/upload/iblock/0c9/pqn0se28alcvwwkxbwfktsvogng4y4yz.jpg					https://www.comforty.ru/upload/iblock/29a/lpwqtamb0p50asa5lx81q9i70dnqqod6.jpg
00-00012229	COMFORTY. Раковина COMFORTY 114MH светло серая матовая	Раковины	114MH	8 260р.	11 550р.	9,75		415	120	415	Санфарфор	Светло-серый	430	150	430	4630100143589	Нет	Нет		Раковина-чаша	Comforty	Гарантийный срок 5 лет	Название: накладная круглая раковина-чаша Comforty 114MH Артикул: 114MH Материал: фарфор Габаритные размеры ШхВхГ: 415*120*415 мм Цвет: светло-серый матовый Вес - 9 кг.  Способ установки: накладная Форма чаши: круглая Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник из фарфора для установки на тумбу или столешницу  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/nakladnaya-kruglaya-rakovina-chasha-comforty-114mh-svetlo-seraya-matovaya/	https://www.comforty.ru/upload/iblock/d61/rpuokc1iqg9wpee1qdwild0lnicxwaxh.jpg	https://www.comforty.ru/upload/iblock/a81/peeqcnkvq4fwgx1dw6x4luha1ubdvlto.jpg	https://www.comforty.ru/upload/iblock/8ff/oc14k2mtbwepplta6x7b0kgkvwgmt9sd.jpg	https://www.comforty.ru/upload/iblock/d51/hmapq7xsvy6l2r3hq21d7qud9f76asta.jpg	https://www.comforty.ru/upload/iblock/b8b/ypvesd4ze69w4ox1ifrqo1qli1m5rvy6.jpg	https://www.comforty.ru/upload/iblock/730/s9o8rjdtlr77v5ai1l44uud1wp5dac3u.jpg	https://www.comforty.ru/upload/iblock/4f9/3k7lv97pkjb8zfbqevy73zj5u9uz3i3b.jpg	https://www.comforty.ru/upload/iblock/c62/c0mbs1869rqwim44cisc931dz1fbgjsf.jpg	https://www.comforty.ru/upload/iblock/08d/e2qnvykfjd092qdz6z10an9t06n4fj3b.jpg			https://www.comforty.ru/upload/iblock/ab4/82hn916c6g5kw9h01lmh7qw6got317e1.jpg
00-00011950	COMFORTY. Раковина COMFORTY 7050D	Раковины	7050D	5 050р.	7 050р.	11,1		415	135	415	Санфарфор	Белый	440	150	440	4630100143459	Нет	Нет		Раковина-чаша	Comforty	Гарантийный срок 5 лет	Название: накладная квадратная раковина-чаша Comforty 7050D Артикул: 7050D Материал: санитарный фарфор Габаритные размеры ШхВхГ: 415*135*415 Цвет: белый Вес - 11,5 кг.  Способ установки: накладная Форма чаши: квадратная Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/nakladnaya-rakovina-comforty-7050d-belaya/	https://www.comforty.ru/upload/iblock/85e/lvbv2ua2xi0dxu9tk7o2dnzoz2vmdpt6.jpg	https://www.comforty.ru/upload/iblock/4a3/i3q2mhvyzit4uj7helw230hwbe4ropxn.jpg	https://www.comforty.ru/upload/iblock/690/if9s0bfjlq87om0dnj202sognmp3sk1y.jpg	https://www.comforty.ru/upload/iblock/4e3/2nwvhfi94chb8moxtxlre0xtxn34kysb.jpg	https://www.comforty.ru/upload/iblock/fd4/8dhctyb384qkz814bbs092edyc05p6f8.jpg	https://www.comforty.ru/upload/iblock/a1f/tgocddu2g3hdp5v7jxq8iddky60wmpq6.jpg	https://www.comforty.ru/upload/iblock/e98/tr0u4oyd9w0zpxti9rwaxlf4vldinr52.jpg	https://www.comforty.ru/upload/iblock/5a5/l01n05bvowozmomwj9thsbdmy3vltoih.jpg	https://www.comforty.ru/upload/iblock/b01/ikd8suj5uagxpvh1eoy5p4m3qyk0m0wr.jpg			https://www.comforty.ru/upload/iblock/7df/gyod5huu02z7oflw1ptomithft42e1pb.jpg
00-00011951	COMFORTY. Раковина COMFORTY 7657D	Раковины	7657D	6 590р.	9 210р.	11,3		500	120	350	Санфарфор	Белый	520	150	380	4630100143787	Да	Да		Накладная	Comforty	Гарантийный срок 5 лет	Название: накладная мебельная раковина Comforty 7657D Артикул: 7657D Цвет: белый  Способ установки: накладная, подвесная Форма чаши: прямоугольная Материал: санитарный фарфор Переливное отверстие: есть Отверстие под смеситель: есть Назначение: мебельный умывальник для установки на тумбу. Наличие монтажных отверстий на задней стороне, позволяет также подвешивать раковину на стену. Габаритные размеры ШхВхГ: 500*110*400 мм Вес: 9,5 кг  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/50-60sm/nakladnaya-rakovina-50-sm-comforty-7657d-belaya/	https://www.comforty.ru/upload/iblock/8b6/j2mq58lsyf98es7v73vbld1jh3e8m9zw.jpg	https://www.comforty.ru/upload/iblock/9aa/f760tbnaoi5uflcc2zy5u3uo59vmp75z.jpg	https://www.comforty.ru/upload/iblock/4df/e128rqnv3p2tts199sadhk2jnnkrrpf2.jpg	https://www.comforty.ru/upload/iblock/1b6/y83fe4u4sa54g7yq95t8nv2cd5dkp33d.jpg	https://www.comforty.ru/upload/iblock/5bf/daoo4fqbw9dhnr5oa49maho5ssbpliun.jpg	https://www.comforty.ru/upload/iblock/9c2/7m410adlc79enamaf7k37drevfr2oky6.jpg	https://www.comforty.ru/upload/iblock/67b/jogvwa4o1en2ds73tnl2d4iiro7lc0ro.jpg	https://www.comforty.ru/upload/iblock/267/l9zhci07hcoqfzc0ku7cnvv6nynury9y.jpg	https://www.comforty.ru/upload/iblock/bee/fwl3j38ah9ug8fqd4b8wf10noyjejdwj.jpg			https://www.comforty.ru/upload/iblock/078/hjyru5ajyqe2whlk2b7kcgmx0r7q53l4.jpg
00-00012238	COMFORTY. Раковина COMFORTY 78574-50	Раковины	78574-50	5 600р.	7 830р.	11,2		500	110	400	Санфарфор	Белый	510	140	430	4630100143749	Да	Нет		Накладная	Comforty	Гарантийный срок 5 лет	Название: накладная мебельная раковина Comforty 78574-50 Артикул: 78574-50 Цвет: белый  Способ установки: накладная, подвесная Форма чаши: прямоугольная Материал: санитарный фарфор Переливное отверстие: нет Отверстие под смеситель: есть Назначение: мебельный умывальник для установки на тумбу. Наличие монтажных отверстий на задней стороне, позволяет также подвешивать раковину на стену. Габаритные размеры ШхВхГ: 500*110*400 мм Вес: 9,5 кг  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/50-60sm/nakladnaya-pryamougolnaya-rakovina-50-sm-comforty-78574-50-belaya/	https://www.comforty.ru/upload/iblock/7a0/oy95f4wwlp73vtyv38vnkqk17wmwv4be.jpg	https://www.comforty.ru/upload/iblock/145/x8cj96b6pg7zew619bpg44d3tlqrqeuu.jpg	https://www.comforty.ru/upload/iblock/0f3/c04vjcklmu4bi2bwcn2fw0q8tet0tfxv.jpg	https://www.comforty.ru/upload/iblock/387/gbe3v8e4rmyczf8l710kb97jm1z45nyb.jpg	https://www.comforty.ru/upload/iblock/1df/se5q0jyo1fg5k3wz4ad0zmqe3ec7mumq.jpg	https://www.comforty.ru/upload/iblock/f75/6igfwvvd6q5o51t97qzu2zgw9a6na0fv.jpg	https://www.comforty.ru/upload/iblock/1dd/egl9s6bycxud6ve4zqondt7wwaauqfuw.jpg	https://www.comforty.ru/upload/iblock/4f3/uaqzwpgs6kv8pzeyd00knbq5s9k0gyeb.jpg	https://www.comforty.ru/upload/iblock/b45/e8v12z96inijtl1xfuqjlljp178w9wq1.jpg			https://www.comforty.ru/upload/iblock/3d3/ebc7b2cv41gebb42cug3vaz1rx6hh1ke.jpg
00-00012239	COMFORTY. Раковина COMFORTY 78574-70	Раковины	78574-70	8 830р.	12 340р.	15,6		700	110	400	Санфарфор	0	720	140	430	4630100143763	Нет	Нет		Накладная	Comforty	Гарантийный срок 5 лет	Название: накладная мебельная раковина Comforty 78574-70 Артикул: 78574-70 Материал: санитарный фарфор Габаритные размеры ШхВхГ: 700*110*400 Цвет: белый Вес - 12.5 кг.  Способ установки: накладная Форма чаши: прямоугольная Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: есть Назначение: мебельный умывальник для установки на тумбу или столешницу. Наличие монтажных отверстий на задней стороне, позволяет также подвешивать раковину на стену.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/70-76sm/nakladnaya-pryamougolnaya-rakovina-70-sm-comforty-78574-70-belaya/	https://www.comforty.ru/upload/iblock/19d/9u747didun2wk866lrifjii2myy45fz7.jpg	https://www.comforty.ru/upload/iblock/f3a/v3p2cqjqwsqrfa0qgu0otperbcl8uop0.jpg	https://www.comforty.ru/upload/iblock/b9d/p0frd40hqduzqd4hgkwns0mnyzbshqsp.jpg	https://www.comforty.ru/upload/iblock/60d/wfsm65opoc948b9prewam2lnhn5foac6.jpg	https://www.comforty.ru/upload/iblock/25c/0oa5eoelq4lc5r3mnatrpvtits6k265z.jpg	https://www.comforty.ru/upload/iblock/6d1/vuxdlgf3oovch553om8842ybaudhdo59.jpg	https://www.comforty.ru/upload/iblock/2b8/irq7ovo3mdh5z1ad0dsggsgp8jsn5dcj.jpg	https://www.comforty.ru/upload/iblock/5fa/mg69puqy9dhb6m78ouheor1g2qjalg41.jpg				https://www.comforty.ru/upload/iblock/0b8/9dhikdlgpfo7z9vt7rfl03nrlb0kvvdr.jpg
00-00012234	COMFORTY. Раковина COMFORTY 78575-50	Раковины	78575-50	7 150р.	9 990р.	11,8		505	150	380	Санфарфор	Белый	510	170	410	4630100143688	Нет	Нет		Накладная	Comforty	Гарантийный срок 5 лет	Название: накладная прямоугольная раковина-чаша Comforty 78575-50 Артикул: 78575-50 Материал: санитарный фарфор Габаритные размеры ШхВхГ: 505*150*380 Цвет: белый Вес - 10.4 кг.  Способ установки: накладная Форма чаши: прямоугольная Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: прямоугольный мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/50-60sm/nakladnaya-pryamougolnaya-rakovina-50-sm-comforty-78575-50-belaya/	https://www.comforty.ru/upload/iblock/944/3bj4akco3k6alz0gabwb8y8fa3b520wc.jpg	https://www.comforty.ru/upload/iblock/fbf/obbwro83lc3mjaqq1noq3d8pfpz9vnn6.jpg	https://www.comforty.ru/upload/iblock/eb8/cf6pk4l1dvh8ww7hrjgdsvm730rrisue.jpg	https://www.comforty.ru/upload/iblock/349/86b7nonpj9thcoep8ki5s7e5v01lf3bh.jpg	https://www.comforty.ru/upload/iblock/79e/8t4fzkhi31fjqud0qz7xmm2np3wf72d7.jpg	https://www.comforty.ru/upload/iblock/e24/milqncyo7lzrb3nxv4fn8wqm39jbdd30.jpg	https://www.comforty.ru/upload/iblock/741/1s20tzbvgios7s7yt5tmx7wkamphf8cb.jpg	https://www.comforty.ru/upload/iblock/bd9/7dy61uq5yy0krtjr9c259ilmhfd294l3.jpg				https://www.comforty.ru/upload/iblock/db8/7hitxeb1bvzk25fwzl9tjxm641hp1pgz.jpg
00-00012235	COMFORTY. Раковина COMFORTY 78575-60	Раковины	78575-60	8 410р.	11 750р.	13,5		610	150	380	Санфарфор	Белый	620	170	410	4630100143701	Нет	Нет		Накладная	Comforty	Гарантийный срок 5 лет	Название: накладная прямоугольная раковина-чаша Comforty 78575-60 Артикул: 78575-60 Материал: санитарный фарфор Габаритные размеры ШхВхГ: 610*150*380 Цвет: белый Вес - 16 кг.  Способ установки: накладная Форма чаши: прямоугольная Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: прямоугольный мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/50-60sm/nakladnaya-pryamougolnaya-rakovina-61-sm-comforty-78575-60-belaya/	https://www.comforty.ru/upload/iblock/9a9/42vsl4obu4145dob99fd9iwncelnxm0h.jpg	https://www.comforty.ru/upload/iblock/fe3/t07sv3cxhclw0f1qgi5lgwtoadtfnxxc.jpg	https://www.comforty.ru/upload/iblock/2cd/bcom2yj4396nbkxyifup9lr2od0w8es2.jpg	https://www.comforty.ru/upload/iblock/9d4/m4t69i3j40cve3rgu40j07pxtmxbtzkc.jpg	https://www.comforty.ru/upload/iblock/a78/mxcbqfosdk0m3t24zb49dw0f1qs3io0l.jpg	https://www.comforty.ru/upload/iblock/ae8/fi0g6kgjib9vm5aglu2m5m0m4o3u4zg9.jpg	https://www.comforty.ru/upload/iblock/1ba/pop82xql6n5pgikw826sucef8oy97pay.jpg					https://www.comforty.ru/upload/iblock/4f2/7xthhaefj4qs85ry1bwz0j8cy9wlznou.jpg
00-00012236	COMFORTY. Раковина COMFORTY 78575-70	Раковины	78575-70	10 220р.	14 290р.	19		710	150	380	Санфарфор	Белый	720	170	400	4630100143725	Нет	Нет		Накладная	Comforty	Гарантийный срок 5 лет	Название: накладная овальная раковина-чаша Comforty 78575-70 Артикул: 78575-70 Материал: санитарный фарфор Габаритные размеры ШхВхГ: 710*150*380 Цвет: белый Вес - 18,5 кг.  Способ установки: накладная Форма чаши: прямоугольная Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/70-76sm/nakladnaya-pryamougolnaya-rakovina-71-sm-comforty-78575-70-belaya/	https://www.comforty.ru/upload/iblock/151/lu2vk4da5ve0h6j7s6iigdwcyq9or4wy.jpg	https://www.comforty.ru/upload/iblock/f84/16gy94zib7wyh8nf359ix6jx4iaskbd7.jpg	https://www.comforty.ru/upload/iblock/621/3l2g0469o8alb44ks0esp4r55sb084hy.jpg	https://www.comforty.ru/upload/iblock/14e/pf4xygucnvl85lm10m81exv3a0hb2aer.jpg	https://www.comforty.ru/upload/iblock/825/xsgjzgoqxxsj6x9rkugjeezkc801hjq4.jpg	https://www.comforty.ru/upload/iblock/eca/5c2b109hn0i2m6dguw8p824xk6893qif.jpg						https://www.comforty.ru/upload/iblock/529/r842dqjy78in6qi1babo4zmi4av19m2j.jpg
00-00012237	COMFORTY. Раковина COMFORTY 78575MH-60 светло серая матовая	Раковины	78575MH-60	13 730р.	19 190р.	17		610	150	380	Санфарфор	Светло-серый	620	170	410	4630100143718	Нет	Нет		Накладная	Comforty	Гарантийный срок 5 лет	Название: накладная прямоугольная раковина-чаша Comforty 78575MH-60 Артикул: 78575MH-60 Материал: санитарный фарфор Габаритные размеры ШхВхГ: 610*150*380 Цвет: светло-серый Вес - 16 кг.  Способ установки: накладная Форма чаши: прямоугольная Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: прямоугольный мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/50-60sm/nakladnaya-pryamougolnaya-rakovina-61-sm-comforty-78575mh-60-svetlo-seraya-matovaya/	https://www.comforty.ru/upload/iblock/171/ds81krncg85mvxml7o98i5j8es42ng1k.jpg	https://www.comforty.ru/upload/iblock/d57/7fabvv9ik6zm3hhzdbe56eqxz2ar40tj.jpg	https://www.comforty.ru/upload/iblock/55a/onxa6s8f197doehao102scux1i046j4t.jpg	https://www.comforty.ru/upload/iblock/cec/kn2nzi2e969n1p0365rszl5n0vub6agj.jpg	https://www.comforty.ru/upload/iblock/775/m1xmmsozrgitisi733tchofy2bo41ri7.jpg	https://www.comforty.ru/upload/iblock/3b6/uk48aevke1wzof5v0ez4uiljrajmtss4.jpg	https://www.comforty.ru/upload/iblock/3ae/jzbz3tr0b1ydhu1epmr0ijyoczoghefo.jpg					https://www.comforty.ru/upload/iblock/59d/4ll3uku1x35nac9ndkksgjm2y8xgqklm.jpg
00-00012230	COMFORTY. Раковина COMFORTY 78650 бронза/черный	Раковины	78650	8 830р.	12 340р.	9		415	120	415	Санфарфор	медь	430	150	430	4630100143602				Раковина-чаша	Comforty	Гарантийный срок 5 лет	Название: накладная круглая раковина-чаша Comforty 78650 Артикул: 78650 Материал: фарфор Габаритные размеры ШхВхГ: 415*120*415 мм Цвет: комбинированный черный/медь Вес - 9 кг.  Способ установки: накладная Форма чаши: круглая Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник из фарфора для установки на тумбу или столешницу Раковина двухцветная. Внешняя поверхность окрашена глазурью имитирующей цвет меди, внутренняя поверхность чаши черная матовая.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/nakladnaya-kruglaya-rakovina-chasha-comforty-78650-med-chernaya/	https://www.comforty.ru/upload/iblock/5ba/a4ucjs1vd32l58hshpfovqb681q5j4qb.jpg	https://www.comforty.ru/upload/iblock/6a7/01ixdz3519dy1co1n4fean0neevdig1r.jpg	https://www.comforty.ru/upload/iblock/a37/whdu98ophrsk7ocld21c4aun6t1drdoz.jpg	https://www.comforty.ru/upload/iblock/9b7/ctkwsie1w0cgqjtk4tc17felo3ltxlvn.jpg	https://www.comforty.ru/upload/iblock/222/19zrfr1fb7ichqnklzn0magy2qrwj4ke.jpg	https://www.comforty.ru/upload/iblock/8ce/hm3o2mj2202w1166q9y7ykm6zrb3sme5.jpg	https://www.comforty.ru/upload/iblock/b42/la3iwu8oc47337dyezjb79mp5a9dith2.jpg	https://www.comforty.ru/upload/iblock/bb2/mcgzkh5qp21nopc4mlh682td4r8kiq3l.jpg	https://www.comforty.ru/upload/iblock/87e/b66bw6ymoeyleefc92d6smulow6oi5pl.jpg	https://www.comforty.ru/upload/iblock/e36/f53ig1dk6ivjy6rda6nvkwt2wor96657.jpg	https://www.comforty.ru/upload/iblock/537/7grjcg4qalwyu1jeevlqo0kj58e4ltlo.jpg	https://www.comforty.ru/upload/iblock/8c3/lzuzkks2kah01pcamm3edu1dkn7e9rwu.jpg
00-00012231	COMFORTY. Раковина COMFORTY 78651 латунь/черный	Раковины	78651	8 830р.	12 340р.	9,9		415	120	415	Санфарфор	бронза	430	150	430	4630100143613	Нет	Нет		Раковина-чаша	Comforty	Гарантийный срок 5 лет	Название: накладная круглая раковина-чаша Comforty 78651 Артикул: 78651 Материал: фарфор Габаритные размеры ШхВхГ: 415*120*415 мм Цвет: комбинированный черный/бронза Вес - 9 кг.  Способ установки: накладная Форма чаши: круглая Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник из фарфора для установки на тумбу или столешницу Раковина двухцветная. Внешняя поверхность окрашена глазурью имитирующей цвет бронзы, внутренняя поверхность чаши черная матовая.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/nakladnaya-kruglaya-rakovina-chasha-41-5-sm-comforty-78651-bronza-chernaya/	https://www.comforty.ru/upload/iblock/496/9mdg44fxiao4ex6yty0wvfcka0kejvi9.jpg	https://www.comforty.ru/upload/iblock/dec/8kce9yviv3hn4ccscdqg0dchkt2iahpm.jpg	https://www.comforty.ru/upload/iblock/517/jsh7s15zmsod3a38pa74arapcuiy87i5.jpg	https://www.comforty.ru/upload/iblock/63b/kznq3tsrtz8rpp8wlg29wogtc2hyritp.jpg	https://www.comforty.ru/upload/iblock/007/6fw1cbjgk7fdds4vszojpnww35tgkdba.jpg	https://www.comforty.ru/upload/iblock/d00/rj81bjzew2xhaevpep398htq4ojbhsgr.jpg	https://www.comforty.ru/upload/iblock/a58/q8hub9n67watrof8fau2ll5rxhuzf6v5.jpg	https://www.comforty.ru/upload/iblock/0a7/vm4qfmj9fhn1cvxezxvdr558vbel9yq4.jpg	https://www.comforty.ru/upload/iblock/b80/1qsgq2ctvt7ley2lffnl2ernkoawb0ww.jpg	https://www.comforty.ru/upload/iblock/d7b/fgln9yjejwbsn5atmivc7jx46ez17gs2.jpg		https://www.comforty.ru/upload/iblock/2e7/5r8vfd012jpyj51ss2e2u5zvjvg9ul74.jpg
